x,y,u,v,p
0.46,0.04,-0.0596594,0.00179004,0.1006241
0.48,0.04,-0.06072386,0.000837464,0.1008561
0.5,0.04,-0.0608668,-0.000206862,0.1011418
0.52,0.04,-0.06003402,-0.001307387,0.101466
0.54,0.04,-0.05820561,-0.002421859,0.101809
0.56,0.04,-0.05539961,-0.003503226,0.1021471
0.58,0.04,-0.05167396,-0.00450216,0.1024547
0.6,0.04,-0.04712646,-0.00537008,0.1027059
0.62,0.04,-0.04189233,-0.006062467,0.1028767
0.64,0.04,-0.03613933,-0.006542248,0.1029476
0.66,0.04,-0.0300608,-0.006782944,0.1029053
0.68,0.04,-0.02386647,-0.006771181,0.1027445
0.7,0.04,-0.01777171,-0.006508294,0.102468
0.72,0.04,-0.01198606,-0.006010695,0.1020872
0.74,0.04,-0.006701581,-0.005308863,0.1016204
0.76,0.04,-0.002082165,-0.00444502,0.1010915
0.78,0.04,0.001745264,-0.003469676,0.1005272
0.8,0.04,0.004697035,-0.002437554,0.09995474
0.82,0.04,0.006735979,-0.001403561,0.09940003
0.84,0.04,0.007871936,-0.000419535,0.09888551
0.86,0.04,0.008160053,0.000467267,0.0984294
0.88,0.04,0.007698311,0.001213217,0.09804531
0.9,0.04,0.006625962,0.00177442,0.09774243
0.92,0.04,0.005124321,0.00210017,0.09752593
0.94,0.04,0.003419864,0.002126456,0.09739716
0.96,0.04,0.001785613,0.001779194,0.09735336
0.98,0.04,0.000533439,0.001018501,0.09738842
1,0.04,0,0,0.09747497
0,0.06,0,0,0.1040249
0.02,0.06,6.03461E-06,-0.00043307,0.1040121
0.04,0.06,-0.000208393,-7.40189E-05,0.1039508
0.06,0.06,-0.000860944,0.0006986,0.103849
0.08,0.06,-0.002052268,0.001640395,0.1037157
0.1,0.06,-0.003815677,0.002615089,0.1035573
0.12,0.06,-0.006149245,0.003560707,0.1033783
0.14,0.06,-0.009036022,0.004459259,0.1031813
0.16,0.06,-0.01245494,0.005313383,0.1029682
0.18,0.06,-0.01638448,0.006130529,0.1027402
0.2,0.06,-0.02080128,0.006913604,0.1024987
0.22,0.06,-0.02567617,0.00765652,0.102246
0.24,0.06,-0.03096911,0.008343078,0.101985
0.26,0.06,-0.03662456,0.008947912,0.10172
0.28,0.06,-0.04256786,0.009438554,0.1014565
0.3,0.06,-0.0487032,0.009778065,0.1012016
0.32,0.06,-0.05491336,0.009927927,0.1009633
0.34,0.06,-0.0610612,0.009851025,0.100751
0.36,0.06,-0.06699289,0.009514676,0.1005745
0.38,0.06,-0.07254288,0.008893582,0.1004438
0.4,0.06,-0.07754,0.007972564,0.1003682
0.42,0.06,-0.0818146,0.006748968,0.1003552
0.44,0.06,-0.08520626,0.005234491,0.1004099
0.46,0.06,-0.0875715,0.003456313,0.1005333
0.48,0.06,-0.08879125,0.001457389,0.1007223
0.5,0.06,-0.08877756,-0.000704206,0.1009682
0.52,0.06,-0.08747929,-0.00295689,0.1012572
0.54,0.06,-0.08488655,-0.005218213,0.1015703
0.56,0.06,-0.0810336,-0.007398407,0.1018845
0.58,0.06,-0.07600002,-0.009404832,0.1021743
0.6,0.06,-0.06991017,-0.01114713,0.1024135
0.62,0.06,-0.06293046,-0.01254279,0.1025777
0.64,0.06,-0.05526439,-0.01352287,0.1026467
0.66,0.06,-0.04714552,-0.01403735,0.1026065
0.68,0.06,-0.03882821,-0.01405962,0.1024511
0.7,0.06,-0.03057637,-0.01358944,0.1021832
0.72,0.06,-0.02265108,-0.01265413,0.1018138
0.74,0.06,-0.0152974,-0.01130738,0.1013615
0.76,0.06,-0.008731534,-0.009625766,0.1008502
0.78,0.06,-0.003129314,-0.007703308,0.1003067
0.8,0.06,0.001383116,-0.005644572,0.09975819
0.82,0.06,0.004735643,-0.003557616,0.09922984
0.84,0.06,0.006917553,-0.001547857,0.098743
0.86,0.06,0.007977925,0.000285427,0.09831416
0.88,0.06,0.008024182,0.001848804,0.09795475
0.9,0.06,0.007219899,0.003049941,0.09767165
0.92,0.06,0.005782973,0.003789418,0.09746815
0.94,0.06,0.003984508,0.003953592,0.0973454
0.96,0.06,0.002148764,0.003419684,0.0973042
0.98,0.06,0.000661788,0.002093541,0.09734823
1,0.06,0,0,0.09745637
0,0.08,0,0,0.1042179
0.02,0.08,-0.000186117,-0.000211578,0.104171
0.04,0.08,-0.000881392,0.000621687,0.104084
0.06,0.08,-0.002229201,0.001989251,0.10397
0.08,0.08,-0.004280748,0.003568867,0.1038348
0.1,0.08,-0.007040612,0.005183604,0.1036816
0.12,0.08,-0.01049295,0.006753476,0.1035118
0.14,0.08,-0.01461544,0.008254805,0.1033257
0.16,0.08,-0.01938448,0.009689036,0.1031228
0.18,0.08,-0.02477442,0.01106148,0.1029029
0.2,0.08,-0.03075337,0.01236884,0.102666
0.22,0.08,-0.03727757,0.01359353,0.1024131
0.24,0.08,-0.04428588,0.01470278,0.1021461
0.26,0.08,-0.05169542,0.01565068,0.1018686
0.28,0.08,-0.059399,0.01638195,0.1015856
0.3,0.08,-0.06726453,0.01683642,0.1013038
0.32,0.08,-0.07513671,0.01695396,0.1010315
0.34,0.08,-0.08284066,0.01667934,0.1007785
0.36,0.08,-0.09018729,0.01596693,0.100556
0.38,0.08,-0.09698018,0.01478498,0.1003752
0.4,0.08,-0.1030231,0.01311925,0.1002473
0.42,0.08,-0.108128,0.01097585,0.1001821
0.44,0.08,-0.1121228,0.008383017,0.1001865
0.46,0.08,-0.1148583,0.005391811,0.100264
0.48,0.08,-0.1162151,0.00207564,0.100413
0.5,0.08,-0.1161082,-0.001471384,0.1006264
0.52,0.08,-0.1144918,-0.005137175,0.1008914
0.54,0.08,-0.1113625,-0.008795569,0.1011895
0.56,0.08,-0.1067617,-0.0123112,0.1014974
0.58,0.08,-0.1007764,-0.01554547,0.1017888
0.6,0.08,-0.09353981,-0.01836337,0.1020362
0.62,0.08,-0.0852291,-0.02064099,0.1022137
0.64,0.08,-0.07606221,-0.02227338,0.1022992
0.66,0.08,-0.06629205,-0.02318217,0.1022769
0.68,0.08,-0.05619838,-0.02332227,0.1021394
0.7,0.08,-0.04607703,-0.02268687,0.1018882
0.72,0.08,-0.03622737,-0.02130994,0.1015339
0.74,0.08,-0.02693813,-0.01926575,0.1010952
0.76,0.08,-0.01847252,-0.01666494,0.1005966
0.78,0.08,-0.01105424,-0.01364756,0.1000658
0.8,0.08,-0.004854918,-0.01037378,0.09953064
0.82,0.08,1.54275E-05,-0.007013701,0.09901692
0.84,0.08,0.003514886,-0.003737965,0.09854586
0.86,0.08,0.005672432,-0.000711316,0.09813324
0.88,0.08,0.006587754,0.001909122,0.09778915
0.9,0.08,0.006428884,0.003970027,0.09751876
0.92,0.08,0.005428792,0.005313557,0.09732397
0.94,0.08,0.003882755,0.005768892,0.09720549
0.96,0.08,0.002150359,0.005151526,0.09716559
0.98,0.08,0.000672669,0.003277933,0.09721109
1,0.08,0,0,0.09732205
0,0.1,0,0,0.1044541
0.02,0.1,-0.000422498,0.000403863,0.1043643
0.04,0.1,-0.001706716,0.001984017,0.1042433
0.06,0.1,-0.0038894,0.00414088,0.1041107
0.08,0.1,-0.00694708,0.0065043,0.1039677
0.1,0.1,-0.01083988,0.008878598,0.1038138
0.12,0.1,-0.01552889,0.01118029,0.1036469
0.14,0.1,-0.02098161,0.01338726,0.1034643
0.16,0.1,-0.02716943,0.01550093,0.1032632
0.18,0.1,-0.03406109,0.01752142,0.1030413
0.2,0.1,-0.04161473,0.01943367,0.1027971
0.22,0.1,-0.0497705,0.02120211,0.1025302
0.24,0.1,-0.05844491,0.02277109,0.1022415
0.26,0.1,-0.0675275,0.02406898,0.1019338
0.28,0.1,-0.07688001,0.02501412,0.1016117
0.3,0.1,-0.08633805,0.02552168,0.1012822
0.32,0.1,-0.09571513,0.02551072,0.1009544
0.34,0.1,-0.1048085,0.02491079,0.1006393
0.36,0.1,-0.1134061,0.02366805,0.1003498
0.38,0.1,-0.121295,0.02175023,0.1000998
0.4,0.1,-0.1282683,0.01915046,0.09990284
0.42,0.1,-0.1341334,0.01588972,0.09977149
